,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan,Cluster
86,2022,270,0.1304347826086956,0,0,0.1758793969849246,0.0290827740492169,0
87,2023,270,0.2391304347826087,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
88,2022,278,0.0217391304347826,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
89,2020,270,0.2826086956521739,0,0,0.1758793969849246,0.0290827740492169,0
90,2017,270,0.0652173913043478,0,0,0.1758793969849246,0.0290827740492169,0
91,2021,375,0.1521739130434782,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,0
92,2016,299,0.3260869565217391,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
93,2018,689,0.5869565217391304,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.1208053691275167,2
94,2020,335,0.5,0.1666666666666666,0,0.1206030150753769,0.0290827740492169,0
95,2018,260,0.4565217391304347,0.1666666666666666,0,0.2613065326633166,0.0380313199105145,0
96,2019,275,0.2608695652173913,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
97,2020,278,0.108695652173913,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
98,2018,278,0.5652173913043478,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
99,2017,495,0.1956521739130434,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,2
100,2019,495,0.0869565217391304,0.3333333333333333,0,0.0703517587939698,0.3243847874720358,2
101,2019,200,0.6956521739130435,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
102,2018,265,0.8695652173913043,0.1666666666666666,0,0.1206030150753769,0.0290827740492169,0
103,2022,227,0.9130434782608696,0.1666666666666666,0,0.1206030150753769,0.0111856823266219,0
104,2017,325,0.717391304347826,0.1666666666666666,0,0.1909547738693467,0.0604026845637583,0
105,2019,475,0.4782608695652174,0.1666666666666666,0,0.2110552763819095,0.0290827740492169,2
106,2019,685,0.8260869565217391,0.3333333333333333,0.3333333333333333,0.321608040201005,0.105145413870246,2
107,2018,270,0.5,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
108,2022,260,0.7826086956521738,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
109,2023,255,0.3478260869565217,0,0.3333333333333333,0.1306532663316583,0.0380313199105145,0
110,2022,280,0.8695652173913043,0.1666666666666666,0,0.321608040201005,0.1722595078299776,0
111,2020,350,0.0869565217391304,0.1666666666666666,0,0.3366834170854271,0.0604026845637583,0
112,2017,480,0.7826086956521738,0.3333333333333333,0,0.3115577889447236,0.0604026845637583,2
113,2021,495,0.4347826086956521,0.3333333333333333,0,0.6633165829145728,0.0604026845637583,2
114,2016,270,0.3043478260869565,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
115,2018,260,0.3913043478260869,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
116,2020,260,0.5434782608695652,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
117,2018,260,0.2826086956521739,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
118,2019,350,0.5217391304347826,0,0,0.1758793969849246,0.0290827740492169,0
119,2010,350,0.3260869565217391,0.1666666666666666,0,0.3417085427135679,0.0604026845637583,0
120,2023,270,0.1956521739130434,0,0,0.1758793969849246,0.0290827740492169,0
121,2022,270,0.8260869565217391,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
122,2019,350,0.0434782608695652,0.1666666666666666,0,0.2261306532663316,0.0492170022371364,0
123,2020,325,0.5,0.1666666666666666,0,0.1909547738693467,0.0604026845637583,0
124,2017,250,0.0217391304347826,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
125,2021,299,0.3695652173913043,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
126,2016,200,0.7826086956521738,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
127,2018,370,0.4130434782608695,0.1666666666666666,0,0.2914572864321608,0.0290827740492169,0
128,2020,255,0.5,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
129,2018,299,0.3043478260869565,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
130,2019,200,0.3913043478260869,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
131,2020,299,0.5434782608695652,0.1666666666666666,0,0.1507537688442211,0.0290827740492169,0
132,2018,689,0.2826086956521739,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.116331096196868,2
133,2017,685,0.5217391304347826,0.3333333333333333,0.3333333333333333,0.3115577889447236,0.116331096196868,2
134,2019,475,0.3260869565217391,0.1666666666666666,0,0.271356783919598,0.0604026845637583,2
135,2019,275,0.1956521739130434,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
136,2018,275,0.8260869565217391,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
137,2022,270,0.0434782608695652,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
138,2023,680,0.5,0.3333333333333333,0,0.3065326633165829,0.0939597315436241,2
139,2021,495,0.0217391304347826,0.1666666666666666,0,0.0452261306532663,0.1387024608501118,2
140,2016,475,0.3695652173913043,0.1666666666666666,0,0.2211055276381909,0.0492170022371364,2
141,2018,260,0.7826086956521738,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
142,2020,255,0.4130434782608695,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
143,2018,260,0.5,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
144,2019,255,0.0434782608695652,0,0.3333333333333333,0.1306532663316583,0.0380313199105145,0
145,2010,357,0.1739130434782608,0.1666666666666666,0,0.4824120603015075,0.0290827740492169,0
146,2023,470,0,0.1666666666666666,0,0.4221105527638191,0.0380313199105145,2
147,2022,270,0.217391304347826,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
148,2019,280,0.1304347826086956,0.1666666666666666,0,0.2211055276381909,0.0201342281879194,0
149,2020,490,0.2391304347826087,0.1666666666666666,0,0.2412060301507537,0.0492170022371364,2
150,2017,490,0.0217391304347826,0.1666666666666666,0,0.2412060301507537,0.0492170022371364,2
151,2021,475,0.2826086956521739,0.1666666666666666,0,0.185929648241206,0.0827740492170022,2
152,2016,470,0.0652173913043478,0.1666666666666666,0,0.271356783919598,0.0671140939597315,2
153,2018,260,0.1521739130434782,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
154,2020,275,0.3260869565217391,0.1666666666666666,0,0.4673366834170854,0.0604026845637583,0
155,2023,253,0.5869565217391304,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
156,2022,680,0.5,0.1666666666666666,0.3333333333333333,0.2763819095477386,0.0626398210290827,2
157,2019,235,0.4565217391304347,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
158,2020,350,0.2608695652173913,0.1666666666666666,0,0.2261306532663316,0.0492170022371364,0
159,2017,200,0.108695652173913,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
160,2021,485,0.5652173913043478,0.1666666666666666,0,0.1959798994974874,0.0604026845637583,2
161,2016,485,0.1956521739130434,0.1666666666666666,0,0.1959798994974874,0.0604026845637583,2
162,2018,350,0.0869565217391304,0.1666666666666666,0,0.3417085427135679,0.0604026845637583,0
163,2020,480,0.6956521739130435,0.1666666666666666,0,0.3618090452261306,0.0425055928411633,2
164,2018,689,0.5,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.116331096196868,2
165,2019,260,0.4130434782608695,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
166,2020,260,0.6304347826086957,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
167,2018,270,0.8478260869565217,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
168,2017,255,0.6086956521739131,0.1666666666666666,0,0.185929648241206,0.0290827740492169,0
169,2019,328,0.9782608695652174,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
170,2019,475,0.934782608695652,0.1666666666666666,0,0.2211055276381909,0.0492170022371364,2
171,2018,260,0.5217391304347826,0.1666666666666666,0,0.1708542713567839,0.0201342281879194,0
172,2022,335,1,0.1666666666666666,0,0.1959798994974874,0.0492170022371364,0
173,2023,470,0.8913043478260869,0.1666666666666666,0,0.271356783919598,0.0671140939597315,2
174,2022,470,0.9565217391304348,0.1666666666666666,0,0.271356783919598,0.0671140939597315,2
175,2020,475,0.6304347826086957,0.3333333333333333,0.3333333333333333,0.3266331658291457,0.105145413870246,2
176,2017,465,0.9130434782608696,0.3333333333333333,0,0.5577889447236181,0.0693512304250559,2
177,2021,250,0.9782608695652174,0.1666666666666666,0,0.3065326633165829,0.0290827740492169,0
178,2016,465,0.5,0.3333333333333333,0,0.5577889447236181,0.0693512304250559,2
179,2018,250,0.217391304347826,0.1666666666666666,0,0.2010050251256281,0.0290827740492169,0
180,2020,295,0.7826086956521738,0,0,0.3567839195979899,0.0044742729306487,0
181,2018,495,0.4130434782608695,0.1666666666666666,0,0.3567839195979899,0.0447427293064876,2
182,2019,345,0.8260869565217391,0.1666666666666666,0,0.2211055276381909,0.0290827740492169,0
183,2020,250,0.6521739130434783,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
184,2018,250,0.4347826086956521,0.1666666666666666,0,0.1206030150753769,0.0156599552572706,0
185,2017,680,0.8695652173913043,0.3333333333333333,0,0.3065326633165829,0.0939597315436241,2
186,2019,299,0.7826086956521738,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
187,2019,299,0.1956521739130434,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
188,2018,315,0.0869565217391304,0.1666666666666666,0,0,0.1722595078299776,0
189,2022,270,0.934782608695652,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
190,2017,227,0.7608695652173912,0.1666666666666666,0,0.1206030150753769,0.0111856823266219,0
191,2019,247,1,0.1666666666666666,0,0.1959798994974874,0.0290827740492169,0
192,2019,250,0.3260869565217391,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
193,2018,689,0.7391304347826086,1,1,1,1,2
194,2022,335,0.6739130434782609,0.1666666666666666,0,0.1959798994974874,0.0492170022371364,0
195,2023,270,0.0869565217391304,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
196,2022,245,0.8043478260869565,0.1666666666666666,0,0.1959798994974874,0.0290827740492169,0
197,2020,350,0.8260869565217391,0.1666666666666666,0,0.1959798994974874,0.0380313199105145,0
198,2017,345,0.5,0.1666666666666666,0,0.3517587939698492,0.0536912751677852,0
199,2021,349,0.7826086956521738,0.1666666666666666,0,0.1909547738693467,0.0380313199105145,0
200,2016,298,0.4347826086956521,0.1666666666666666,0,0.1256281407035175,0.0380313199105145,0
201,2018,298,0.1304347826086956,0.1666666666666666,0,0.1256281407035175,0.0380313199105145,0
202,2020,487,0.1521739130434782,0.3333333333333333,0,0.2964824120603015,0.0850111856823266,2
203,2018,480,0.6956521739130435,0.3333333333333333,0,0.2814070351758794,0.0805369127516778,2
204,2019,365,0.0434782608695652,0.1666666666666666,0,0.321608040201005,0.0492170022371364,0
205,2010,685,0.3260869565217391,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.1208053691275167,2
206,2023,375,0.7608695652173912,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,0
207,2022,290,0.9130434782608696,0.1666666666666666,0,0.1708542713567839,0.0492170022371364,0
208,2019,495,0.5869565217391304,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,2
209,2020,315,0.3913043478260869,0,0,0.2613065326633166,0.0290827740492169,0
210,2017,315,0.8695652173913043,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
211,2021,680,0.217391304347826,0.3333333333333333,0,0.3065326633165829,0.0827740492170022,2
212,2016,295,0.5652173913043478,0.1666666666666666,0,0,0.0917225950782997,0
213,2018,235,0.108695652173913,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
214,2020,485,0.0869565217391304,0.3333333333333333,0,0.2763819095477386,0.0715883668903803,2
215,2018,287,0.4347826086956521,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
